序號,地區別,縣市,觀光工廠名稱,郵遞區號,地址,觀光工廠預約電話,網址
1,北部,基隆市,一太e衛浴觀光工廠,20446,基隆市安樂區大武崙工業區武訓街51號,02-24342111#503,http://www.itai.com.tw
2,北部,新北市,吳福洋襪子故事館,24452,新北市林口區工二工業區工九路3號,02-26035008,http://www.wufuyang.com
3,北部,新北市,聖瑪莉丹麥麵包莊園,23680,新北市土城區中山路21號,02-22689600,http://www.sunmerry.com.tw/garden/
4,北部,新北市,手信坊創意和?子文化館,23650,新北市土城區國際路55號,02-82620506,http://www.3ssf.com.tw/factory/index.html
5,北部,新北市,王子創意文具國,24452,新北市林口區粉寮路一段86號,"02-25783927
02-26033288",http://www.princecst.com.tw
6,北部,新北市,王鼎時間科藝體驗館,23676,新北市土城區大暖路136號,02-22682999,https://www.atopwatch.com/pages/factory
7,北部,新北市,卡滋爆米花觀光工廠樂園,249005,新北市八里區觀海大道171號,02-86303886,http://www.popsmile.com.tw
8,北部,新北市,玉美人孕婦裝觀光工廠,220620,新北市板橋區四川路2段16巷10號5樓,"02-89669762
#13、#20",http://www.ymr.com.tw
9,北部,新北市,香帥蛋糕芋製所,221031,新北市汐止區汐萬路一段211巷26號,02-26486558 ,https://www.scake.com.tw/information/9
10,北部,新北市,啤酒頭釀造觀光酒廠,241019,新北市三重區中興北街50號,02-85110085,http://headbrewers.com.tw/
11,北部,新北市,許新旺陶瓷紀念博物館,23942,新北市鶯歌區尖山埔路81號,"02-26789571
#220、219、225",http://www.shus.com.tw
12,北部,新北市,連淨綠色科技概念館,23145,新北市新店區寶興路45巷9弄2號,0800-585598,http://www.aconpure.com/en/index.php/tourism-factory2
13,北部,新北市,維格餅家 鳳梨酥夢工場,24869,新北市五股區成泰路一段87號,02-22919131,http://www.taiwan-vigor.com.tw
14,北部,新北市,豐得好食觀光工廠,248016,新北市五股區五權路48號1樓,02-22980002,http://www.fengde.com.tw/index_tw.php
15,北部,桃園市,郭元益糕餅博物館,32661,桃園市楊梅區幼獅工業區青年路9巷3號,03-4962201#1,http://www.kuos.com/museum/
16,北部,桃園市,手信霧隱城,325011,桃園市龍潭區民豐一街99號,03-4700598,https://www.3ssf.com.tw/
17,北部,桃園市,宏亞食品-巧克力共和國(休館改裝),33451,桃園市八德區瑞興里4鄰巧克力街177號,03-3656555#777,http://www.republicofchocolate.com.tw/index.aspx
18,北部,桃園市,雄獅文具想像力製造所,325021,桃園市龍潭區中原路二段188號,03-4116888,http://www.simbalionartstudio.com/
19,北部,桃園市,太平洋自行車博物館,32744,桃園市新屋區永安里永福路686號,"03-4861231
#312、218",http://www.pacificcyclesmuseum.com/
20,北部,桃園市,祥儀機器人夢工廠,33068,桃園市桃園區桃鶯路461號,03-3621252#9,http://robot.shayangye.com/
21,北部,桃園市,CAFE!N 觀光工廠,32459,桃園市平鎮區工業五路8號,03-4697387,http://www.yeuanyeou.com/page57.html
